Center,Facility,Occupied,Status,Record Date,Last Update,Country,Contact,Phone,Location,City,State,Zipcode
Langley Research Center,16-Meter Thermal Vacuum Chamber,1963,Active,03-01-1996 00:00,08-02-2012 00:00,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Langley Research Center,Automated Structures Assembly Lab,1945,Active,03-01-1996 00:00,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
NASA Aircraft Management Division,LaRC B-200 Super King Air Research Aircraft,,Active,11-04-2009 00:00,07/22/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Kennedy Space Center,Processing Control Center/K6-1094 ,1992,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Investment Casting Development Lab/B1237A,,Active,06/15/2006 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Glenn Research Center,Thermal/Vacuum Chamber,,Active,03-05-2015 00:00,,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Marshall Space Flight Center,"EM-20 Penetrant, Optical and Magnetic Particle Lab",,Active,08-11-2006 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Goddard Space Flight Center,"500 WSC: Antenna, 19m S/Ku-band",1977,Active,03-01-1996 00:00,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Marshall Space Flight Center,EV Flight Simulation Lab 4476 ,1963,Inactive,03-01-1996 00:00,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Michoud Assembly Facility,Friction Stir Welding Facility,1943,Active,02-09-2009 00:00,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Marshall Space Flight Center,EH Metallurgical Diagnostics Laboratory 4612,1961,Active,03-01-1996 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,EH Non-Optical NDE Facility 4702,,Active,05/28/1996 12:00:00 AM,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
NASA Aircraft Management Division,ARC Scientific Instrumentation Evaluation Remote Research Aircraft (SIERRA),,Active,11-04-2009 00:00,07/22/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Marshall Space Flight Center,EP Test Facility (TF500) 4522 ,1966,Active,03-01-1996 00:00,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,EI Space Systems Integration and Test Facility 4,1992,Active,03-01-1996 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,RPSF Contractor Support Building/K6-0445 ,1984,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
NASA Aircraft Management Division,WFF C-23 Sherpa Airborne Research Aircraft,,Active,02/13/2013 12:00:00 AM,,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Kennedy Space Center,Mobile Launcher Platform 2 ,1966,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,EB Radio Frequency Development Lab 4189,1957,Active,03-01-1996 00:00,05/30/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,"Corrosion Test Site, K8-0237",2000,Active,05-11-1998 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,EM-20 Acoustic Emission Facility 4711,1992,Active,08-04-2006 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Stennis Space Center,Electrical Distribution System #0010,1964,Active,03-01-1996 00:00,04-06-2015 00:00,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Jet Propulsion Lab,Space Flight Operations Facility,1964,Active,03-01-1996 00:00,08-08-2013 00:00,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Langley Research Center,National Transonic Facility,1982,Active,03-01-1996 00:00,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Glenn Research Center,Complex of Thirteen Space Test Chambers (Bldg.16),1942,Active,03-01-1996 00:00,03-04-2015 00:00,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Marshall Space Flight Center,"EM Environmental Gas/Toxic Offgassing Lab, Bldg 46",1960,Active,03-01-1996 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,EV Battery Test Laboratory 4475 ,1964,Active,03-01-1996 00:00,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,EB Electrical Power Systems Test Fac 4475,1964,Active,03-01-1996 00:00,05/30/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Glenn Research Center,Combustion and Aerochemistry Technology Facilities,1942,Active,03-01-1996 00:00,03-04-2015 00:00,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Glenn Research Center,"8 x 6 Supersonic Wind Tunnel, Bldgs. 39, 53 & 54",1948,Active,03-01-1996 00:00,03-04-2015 00:00,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Stennis Space Center,Propellant Transfer & Storage Facility #3414,1965,Active,03-01-1996 00:00,04-06-2015 00:00,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Glenn Research Center,Small Multi-Purpose Research Facility,,Active,03-05-2015 00:00,06/15/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Marshall Space Flight Center,ET Component/System Quasi-Static Load Fac 4619,1959,Active,04/25/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Johnson Space Center,"Chamber A, EC, B-32 ",1964,Under Rehabilitation,03-01-1996 00:00,09/26/2012 12:00:00 AM,US,Charles Noel,281.483.3219,"77058(29.559177, -95.097897)",Houston,TX,77058
Glenn Research Center,"Zero Gravity Research Facility, (Bldg. 110)",1993,Active,03-01-1996 00:00,03-04-2015 00:00,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Glenn Research Center,Electric Power Lab - Vacuum Facility 6 (VF-6),1961,Active,03-01-1996 00:00,03-04-2015 00:00,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Kennedy Space Center,RPSF Surge Building #2/K6-0345 ,1984,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Intelligent Sys Res Lab/Hydrau Manipulator Testbed,1945,Active,03-01-1996 00:00,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,EP Mechanisms Development Facility 4656 ,1965,,03-01-1996 00:00,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Langley Research Center,Materials Processing and Development Lab,1960,Active,03-01-1996 00:00,02/19/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,"EM Tribology Test Laboratory, Building 4711",1960,Active,03-01-1996 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Johnson Space Center,"Chamber B, EC, B-32 ",1964,Active,03-01-1996 00:00,09/26/2012 12:00:00 AM,US,Charles Noel,281.483.3219,"77058(29.559177, -95.097897)",Houston,TX,77058
Langley Research Center,Intravehicular Automation and Robotics Lab,1945,Active,03-01-1996 00:00,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Kennedy Space Center,Central Instrumentation Facility (CIF)/M6-342 ,1965,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Jet Propulsion Lab,Lidar Facility,1973,Active,03-01-1996 00:00,08-07-2013 00:00,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Michoud Assembly Facility,Component Ablator Facility SLA Spray Room,1985,Active,04-07-2009 00:00,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Marshall Space Flight Center,EM-20 Contact Ultrasonics Laboratory 4702,,Active,08-11-2006 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,EM-20 Phased Array Ultrasonic Laboratory 4702,,Active,08-11-2006 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Goddard Space Flight Center,TDRSS Control Center,1977,Active,03-01-1996 00:00,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Marshall Space Flight Center,EH Rubber Fabrication Laboratory 4612,1960,Active,03-01-1996 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Langley Research Center,Microelectronics Development Lab (B-1238A),,Active,12-06-2005 00:00,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
NASA Aircraft Management Division,LaRC HU-25C Falcon Research Aircraft,,Active,07/22/2013 12:00:00 AM,,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Langley Research Center,High Heat Flux Facility,1940,Active,03-01-1996 00:00,02/19/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Jet Propulsion Lab,Thermal Vacuum Chamber 144-TV-10,1964,Active,07-06-2010 00:00,08-08-2013 00:00,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Marshall Space Flight Center,Vacuum Drop Tube Facility 4550 ,1965,Inactive,03-01-1996 00:00,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,ET Dynamics Test Stand (4550),,Inactive,08-11-2006 00:00,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Glenn Research Center,Vacuum Facility 11 (VF-11) Bldg. 16,,Active,07/15/2010 12:00:00 AM,03-04-2015 00:00,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Marshall Space Flight Center,Low Gravity Materials Science Facility 4550,1991,Inactive,03-01-1996 00:00,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,EP Data Recording and Control Facility 4674 ,1964,Active,03-01-1996 00:00,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Glenn Research Center,Plumbrook Engineering Building,1966,Active,03-01-1996 00:00,03-05-2015 00:00,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Glenn Research Center,Cryogenics Components Laboratory,,Active,03-05-2015 00:00,,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Goddard Space Flight Center,Vibration Test Facility - Exciter 1,,Active,07-07-2010 00:00,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Marshall Space Flight Center,ED Liquid Rocket Engine Air Flow Fac 4777,1985,Active,03-01-1996 00:00,05/30/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Langley Research Center,Fabrication Lab,1958,Active,03-01-1996 00:00,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,ED Water Flow Inducer Test Loop 4777,1985,Active,03-01-1996 00:00,05/30/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Jet Propulsion Lab,CTA-21,1955,Active,03-01-1996 00:00,08-07-2013 00:00,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Langley Research Center,"Flight Simulation Facilities, B1268A and B1268D",,Active,07-06-2009 00:00,02/15/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Goddard Space Flight Center,700: Cryogenic Research and Integration Facility,1994,Active,03-01-1996 00:00,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Goddard Space Flight Center,"500 BDA: Radar, FPQ-6",,Active,03-01-1996 00:00,08/15/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Marshall Space Flight Center,"EM Long-Duration Lubricant Test Laboratory, Bldg 4",,Active,08-09-2006 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,Launch Pad 39A/J8-1708 ,1965,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Low Turbulence Pressure Tunnel,1940,Inactive,03-01-1996 00:00,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,EB Straylight Facility 4487,1957,Active,03-01-1996 00:00,05/30/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,High Bay/M7-360/SSPF ,1995,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
NASA Aircraft Management Division,DFRC F/A-18 Research Aircraft,,Active,11-04-2009 00:00,02/13/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Wallops Flight Facility/GSFC,Poker Flat Research Range & SAR Facility,1970,Active,03-01-1996 00:00,07/19/2013 12:00:00 AM,US,Scott H. Schaire,757-824-1120,"23337-5099(37.911289, -75.469622)",Wallops Island,VA,23337-5099
Michoud Assembly Facility,Component Painting Facility,,Active,02-02-2009 00:00,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Kennedy Space Center,LCC Control Room 3/FR-3/Third Floor/K6-900 ,1966,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,20-Inch Mach CF4 Tunnel,1960,Inactive,03-01-1996 00:00,01/28/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Stennis Space Center,High Pressure Industrial Water Plant #4400,1966,Active,03-01-1996 00:00,04-06-2015 00:00,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Ames Research Center,N234 - THERMAL PROTECTION LAB: AERODYNAMIC HEATING FACILITY (PAPAC),1962,Active,03-01-1996 00:00,06/13/2014 12:00:00 AM,US,Rocci Caringello,650 603-9506,"94035(37.41412, -122.052585)",Moffett Field,CA,94035
Jet Propulsion Lab,24 inch Telescope,1965,Active,03-01-1996 00:00,08-07-2013 00:00,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Jet Propulsion Lab,DSS 12 Antenna,1958,Inactive,03-01-1996 00:00,08-07-2013 00:00,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Kennedy Space Center,Central Frame Low Bay/60680/HGR-AE ,1959,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
NASA Aircraft Management Division,LaRC Lancair Columbia 300 Research Aircraft,,Inactive,11-04-2009 00:00,02/13/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Kennedy Space Center,LB Cells (4) Low Bay Area/East/K6-848/VAB ,1966,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,"EM Metrology Laboratory, Building 4711",,Active,08-09-2006 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Jet Propulsion Lab,DSS 61 Antenna,1964,Active,03-01-1996 00:00,08-07-2013 00:00,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Kennedy Space Center,High Bay/Processing Area/M7-1104/MPPF ,1994,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Kennedy Space Center,High Bay Towers (6)/K6-848/VAB ,1966,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
NASA Aircraft Management Division,GRC DHC-6 Twin Otter Research Aircraft,,Active,11-04-2009 00:00,07/22/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Kennedy Space Center,Orbiter Processing Facility(OPF) Bay 1/K6-894 ,1977,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,Neutral Buoyancy Facility 4705 ,1968,Inactive,03-01-1996 00:00,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Stennis Space Center,Cryogenics Docks #0008,1965,Active,03-01-1996 00:00,04-06-2015 00:00,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Ames Research Center,N237 - HYPERVELOCITY FREE FLIGHT GUN DEVELOPMENT FACILITY (PAPAC),1964,Inactive,03-01-1996 00:00,07/19/2013 12:00:00 AM,US,Rocci Caringello,650 603-9506,"94035(37.41412, -122.052585)",Moffett Field,CA,94035
Marshall Space Flight Center,EM Electrostatic Levitator Materials Characterizat,,Active,08-04-2006 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,EP Hydrocarbon (HC) Engine Test Fac 4696,1963,Inactive,03-01-1996 00:00,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,EH Ceramics Coatings & High Temp Mat.Lab 4612,1960,Active,03-01-1996 00:00,06-02-2014 00:00,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
NASA Aircraft Management Division,LaRC OV-10G Research Aircraft,,Inactive,11-04-2009 00:00,02/13/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Armstrong Flight Research Center,Bldg. 0703 - Dryden Aircraft Operations Facility,,Active,04/13/2010 12:00:00 AM,12/17/2014 12:00:00 AM,US,Facilities Utilization Officer,661-276-2585,"93523(35.000989, -117.888837)",Edwards,CA,93523
Kennedy Space Center,Canister Rotation Facility/M7-777 ,1992,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Kennedy Space Center,Support Areas/1726/HGR-S ,1957,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Jet Propulsion Lab,Large Shaker Dynamics Test Facility,1964,Active,03-01-1996 00:00,08-07-2013 00:00,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Ames Research Center,N238 - ARC JET LABORATORY: PANEL TEST FACILITY (PAPAC),1972,Active,03-01-1996 00:00,06-12-2014 00:00,US,Rocci Caringello,650 603-9506,"94035(37.41412, -122.052585)",Moffett Field,CA,94035
Goddard Space Flight Center,600: Plasma Calibration Facility,1960,Active,03-01-1996 00:00,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Kennedy Space Center,Payload Canister (P70-0870) 2 EA ,1979,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Michoud Assembly Facility,High Bay Facility,1982,Active,02-03-2009 00:00,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Goddard Space Flight Center,"500/WSC: Antenna, 4.5m S/Ku-band",1977,Active,03-01-1996 00:00,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Stennis Space Center,Test Stand B-2 #4221,1965,Under Rehabilitation,12-11-2000 00:00,04-06-2015 00:00,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Kennedy Space Center,Payload Shipping Container (Hubble) (P70-0870) ,1986,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Ames Research Center,N206A - 12 FOOT PRESSURE WIND TUNNEL AUXILIARIES (PAPAC),1946,Active,03-01-1996 00:00,11/22/2013 12:00:00 AM,US,Rocci Caringello,650 603-9506,"94035(37.41412, -122.052585)",Moffett Field,CA,94035
Langley Research Center,Metal Technology Development Lab/1232A,1946,Active,06-09-2006 00:00,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Stennis Space Center,"High Pressure Gas Facility #0041,3305,6,9,10,11",1966,Active,03-01-1996 00:00,04-06-2015 00:00,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Glenn Research Center,Creek Road Cryogenic Complex Cell 7,,Active,06/15/2015 12:00:00 AM,,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Stennis Space Center,Test Stand A-1 #4120,1967,Active,03-01-1996 00:00,04-06-2015 00:00,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Kennedy Space Center,ASRM Kneel Down Transporter ,1993,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,EB LAB Anechoic Test Chamber 4190,1965,Active,06-10-1996 00:00,05/30/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Langley Research Center,Experimental Test Range,1990,Active,03-01-1996 00:00,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Glenn Research Center,"Icing Research Tunnel (IRT), Bldg #11",1943,Active,03-01-1996 00:00,03-04-2015 00:00,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Langley Research Center,Ceramic & Glass Laboratory (B-1237A),1978,Active,03-01-1996 00:00,02/13/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Armstrong Flight Research Center,Bldg. 4824 - Communications Building,,Active,04/13/2010 12:00:00 AM,12/19/2014 12:00:00 AM,US,Facilities Utilization Officer,661-276-2585,"93523(35.000989, -117.888837)",Edwards,CA,93523
Kennedy Space Center,RPSF Shop/Storage Building/K6-0446 ,1984,,03-01-1996 00:00,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Nondestructive Evaluation Lab,1988,Active,03-01-1996 00:00,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Michoud Assembly Facility,Thermal Protection System Area,1963,Active,04-06-2009 00:00,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Stennis Space Center,A Complex Test Control Center (TCC) #4110,1966,Active,03-01-1996 00:00,04-06-2015 00:00,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Glenn Research Center,"Hypersonic Tunnel Facility (HTF), #3411",1966,Active,03-01-1996 00:00,03-04-2015 00:00,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Langley Research Center,Low Pressure Physics Laboratory,1965,Active,03-01-1996 00:00,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
